Company Name,Market Capitalization
SERENDIB HOTELS PLC,5527678821.6
B P P L HOLDINGS PLC,5523180426.0
THE KINGSBURY PLC,5469200000.0
HELA APPAREL HOLDINGS PLC,5401264397.1
DIALOG FINANCE PLC,5153854117.4
SOFTLOGIC FINANCE PLC,5005380593.2
SOFTLOGIC CAPITAL PLC,4983654720.0
RENUKA HOTELS PLC,4946521807.5
SINGER FINANCE LANKA PLC,4890192615.0
BOGALA GRAPHITE LANKA PLC,4826278104.0
COLOMBO DOCKYARD PLC,4821733800.4
PRINTCARE PLC,4736763517.0
CABLE SOLUTIONS PLC,4706666000.0
Co-operative Insurance Company PLC,4626097280.0
THE NUWARA ELIYA HOTELS COMPANY PLC,4590684000.0
KEELLS FOOD PRODUCTS PLC,4513500000.0
BOGAWANTALAWA TEA ESTATES PLC,4296375000.0
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,4237477369.6
Ex-pack Corrugated Cartons PLC,4233333329.1
ORIENT FINANCE PLC,4158692753.5
JOHN KEELLS PLC,4152640000.0
PANASIAN POWER PLC,4125000000.0
RICHARD PIERIS EXPORTS PLC,4024530072.5
CEYLON HOTELS CORPORATION PLC,4014690006.6
MASKELIYA PLANTATIONS PLC,3944000045.9
SMB FINANCE PLC,3882225028.8
L V L ENERGY FUND PLC,3843035581.0
LANKEM CEYLON PLC,3829424320.8
ASSOCIATED MOTOR FINANCE COMPANY PLC,3796463478.0
LAUGFS POWER PLC,3785500971.8
HUNTER & COMPANY PLC,3735270000.0
C. W. MACKIE PLC,3688826990.0
CEYLON HOSPITALS PLC,3668594506.5
LANKA ASHOK LEYLAND PLC,3495923916.5
DANKOTUWA PORCELAIN PLC,3446121904.0
CONVENIENCE FOODS LANKA PLC,3424437500.0
CENTRAL INDUSTRIES PLC,3351034230.5
KEGALLE PLANTATIONS PLC,3318750000.0
ASIA ASSET FINANCE PLC,3278762071.2
AGSTAR PLC,3275155201.5
ABANS FINANCE PLC,3168806353.0
hSenid Business Solutions PLC,3109276873.1
RENUKA CITY HOTELS PLC.,3039750000.0
BALANGODA PLANTATIONS PLC,3025454464.0
SEYLAN DEVELOPMENTS PLC,2905516598.4
TAL LANKA HOTELS PLC,2904459875.2
MERCHANT BANK OF SRI LANKA & FINANCE PLC,2884968003.5
BAIRAHA FARMS PLC,2846800000.0
PMF FINANCE PLC,2837112250.0
RENUKA HOLDINGS PLC,2829849434.1
LEE HEDGES PLC,2816300300.0
HAYLEYS LEISURE PLC,2807738908.0
THE FORTRESS RESORTS PLC,2772167100.0
DOLPHIN HOTELS PLC,2757392794.4
RAIGAM WAYAMBA SALTERNS PLC,2737411004.0
KOTAGALA PLANTATIONS PLC,2708100000.0
THE LIGHTHOUSE HOTEL PLC,2700200000.0
RENUKA AGRI FOODS PLC,2636136706.5
SARVODAYA DEVELOPMENT FINANCE PLC,2573052094.4
HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,2556065540.0
BERUWALA RESORTS PLC,2521959462.0
CEYLON LAND & EQUITY PLC,2487334772.7
AMANA TAKAFUL PLC,2484293844.6
ACL PLASTICS PLC,2472737500.0
CITRUS LEISURE PLC,2453221772.6
